序号	父亲姓名	母亲姓名	父亲电话	母亲电话
1	王强	李梅	13800138000	13900139000
2	李军	张华	13600136000	13700137000
3	张勇	陈丽	13500135000	13400134000
4	陈一刚	周敏	13200132000	13300133000
5	刘辉	杨娟	13100131000	13000130000
6	杨明	赵芳	14700147000	14800148000
7	吴俊	孙燕	14900149000	15000150000
8	赵刚	钱丽	15100151000	15200152000
9	孙林	何娜	15300153000	15400154000
10	周建	徐慧	15500155000	15600156000
11	郑华	马丽	15700157000	15800158000
12	冯峰	朱婷	15900159000	16000160000
13	田军	高敏	16100161000	16200162000
14	贺伟	郭玲	16300163000	16400164000
15	钟明	罗霞	16500165000	16600166000
16	姜云涛	唐瑶	16700167000	16800168000
17	段勇	谢红	16900169000	17000170000
18	侯军	卢芳	17100171000	17200172000
19	袁刚	黄琴	17300173000	17400174000
20	文辉	吴兰	17500175000	17600176000
