序号 姓名 语文 数学 英语 物理 化学 生物 历史 地理 政治 总分 
1 王小明 85 92 88 78 82 75 80 77 83 790 
2 李华 78 89 90 85 88 82 76 84 86 818 
3 张敏 90 83 86 91 87 88 82 85 89 841 
4 陈刚 82 95 80 88 90 86 83 80 81 825 
5 刘芳 76 82 84 79 83 78 75 77 80 774 
6 杨威 88 90 82 92 89 87 84 86 85 843 
7 吴静 91 86 89 84 85 83 81 88 87 824 
8 赵鹏 80 93 81 87 92 84 80 83 82 812 
9 孙悦 79 85 87 76 80 77 78 79 81 772 
10 周琳 84 88 91 82 86 85 83 84 88 825 
11 郑浩 86 91 83 89 88 86 82 85 84 836 
12 冯雪 77 84 88 75 81 74 76 78 80 773 
13 田甜 92 87 85 90 89 88 84 86 87 848 
14 贺磊 81 94 82 86 91 85 81 82 83 815 
15 钟莹 78 83 86 79 84 77 75 78 81 771 
16 姜涛 87 90 84 91 88 86 83 85 84 838 
17 段丽 90 86 89 85 87 84 82 86 88 837 
18 侯宇 83 92 81 88 90 87 80 83 82 816 
19 袁梦 76 85 88 77 82 76 78 79 80 771 
20 文轩 88 91 85 90 89 88 84 86 87 848 
